sku_id,product_name,category,supplier,current_stock,unit_cost,daily_demand_avg,daily_demand_std,lead_time_days,open_purchase_orders,units_on_order,historical_demand_30d,historical_demand_90d,last_restock_date
SKU-00017,Premium Sticky Notes 722,Office Supplies,Delta Prime Wholesale,203,7.0,5.82,5.97,11,0,0,164,531,2026-08-28
SKU-00018,Reinforced Dumbbell Set 411,Sporting Goods,Pacific Rim Sourcing,285,170.42,1.95,0.34,23,2,48,58,181,2026-06-27
SKU-00019,Recycled Pens (Box of 12) 547,Office Supplies,Sterling Office Supply,39,1.43,47.6,14.55,21,0,0,1400,4239,2026-08-19
SKU-00020,Sparkling Protein Bars 667,Grocery & Consumables,Evergreen Consumer Goods,6,7.9,5.79,2.48,18,3,114,196,567,2026-08-22
SKU-00021,Silicone Skillet 696,Home & Kitchen,Clearwater Home Goods,174,32.84,10.47,11.25,11,1,157,401,1141,2026-08-05
SKU-00022,Collapsible Skillet 147,Home & Kitchen,Clearwater Home Goods,434,18.15,15.68,1.45,23,2,416,460,1454,2026-08-27
SKU-00023,Cotton T-Shirt 861,Apparel,BlueHarbor Trading,198,15.33,16.97,7.89,17,1,275,614,1687,2026-08-15
SKU-00024,Lightweight Hoodie 270,Apparel,BlueHarbor Trading,151,6.76,7.28,6.2,13,0,0,245,676,2026-07-23
SKU-00025,Anti-Static Hex Bolts (100pk) 951,Industrial Supplies,TransGlobal Manufacturing,174,131.7,9.3,1.5,30,0,0,291,871,2026-08-23
SKU-00026,Foldable Tent (4-Person) 137,Sporting Goods,Pacific Rim Sourcing,178,34.66,59.18,17.2,53,0,0,1769,5179,2026-06-05
SKU-00027,Foldable Hiking Backpack 503,Sporting Goods,Coastal Sports & Outdoor,351,124.49,17.71,2.3,9,0,0,521,1633,2026-09-02
SKU-00028,Gluten-Free Pasta 762,Grocery & Consumables,Delta Prime Wholesale,84,13.88,30.21,23.14,6,2,171,1005,2742,2026-09-06
SKU-00029,Sparkling Pasta 363,Grocery & Consumables,Evergreen Consumer Goods,7299,2.45,192.35,203.46,7,0,0,6441,19158,2026-08-30
SKU-00030,Heavy-Duty Wiper Blades 390,Automotive Parts,Redline Auto Parts Ltd.,451,86.62,10.69,2.1,44,3,781,326,992,2026-07-22
SKU-00031,Universal Spark Plugs 389,Automotive Parts,Ironclad Industrial Supply,7,191.12,2.98,1.19,9,0,0,81,254,2026-08-27
SKU-00032,Educational Board Game 479,Toys & Games,BlueHarbor Trading,529,7.48,17.44,2.82,26,0,0,557,1648,2026-09-07
SKU-00033,Galvanized Work Gloves 869,Industrial Supplies,Ironclad Industrial Supply,610,159.41,2.54,0.93,31,0,0,77,229,2026-06-19
SKU-00034,Reinforced Extension Cord 396,Industrial Supplies,Ironclad Industrial Supply,37,72.78,8.52,2.15,8,0,0,248,732,2026-09-04
SKU-00035,Recycled Stapler 323,Office Supplies,Sterling Office Supply,3172,1.08,82.03,69.32,12,0,0,2148,6894,2026-08-07
SKU-00036,Build-Your-Own Art Kit 710,Toys & Games,BlueHarbor Trading,158,33.94,9.26,1.84,24,0,0,285,815,2026-09-04
SKU-00037,Quick-Dry Jump Rope 596,Sporting Goods,Northgate Wholesale,7,127.7,2.21,0.37,20,1,74,65,188,2026-08-05
SKU-00038,Hydrating Multivitamin 155,Health & Beauty,Vantage Health Products,162,11.07,4.58,2.11,7,1,51,149,430,2026-08-30
SKU-00039,Heavy-Duty Respirator Mask 400,Industrial Supplies,Ironclad Industrial Supply,126,24.96,19.6,10.03,15,0,0,607,1700,2026-08-15
SKU-00040,Universal Oil Filter 537,Automotive Parts,Redline Auto Parts Ltd.,18,218.78,2.35,1.05,14,0,0,60,202,2026-09-04
SKU-00041,Non-Stick Dish Rack 819,Home & Kitchen,TransGlobal Manufacturing,114,24.94,2.61,0.29,31,0,0,80,225,2026-07-20
SKU-00042,Synthetic Wiper Blades 559,Automotive Parts,Union Square Fabricators,89,118.92,2.28,0.35,44,0,0,69,215,2026-08-28
SKU-00043,Pro-Grade Resistance Bands 463,Sporting Goods,Pacific Rim Sourcing,44,136.84,2.24,2.09,15,0,0,94,249,2026-08-28
SKU-00044,Build-Your-Own Art Kit 277,Toys & Games,BlueHarbor Trading,291,5.94,8.17,1.47,14,0,0,232,718,2026-08-02
SKU-00045,Compact Webcam 414,Electronics,Apex Electronics Group,191,18.81,8.39,1.46,39,0,0,252,762,2026-09-08
SKU-00046,Retractable Label Maker 831,Office Supplies,Meridian Distribution Co.,16,25.78,5.26,5.28,5,0,0,123,405,2026-09-04
SKU-00047,Standard Cabin Filter 191,Automotive Parts,Redline Auto Parts Ltd.,42,277.93,1.08,0.17,10,1,16,33,94,2026-08-27
SKU-00048,Fair Trade Olive Oil 953,Grocery & Consumables,Evergreen Consumer Goods,728,9.15,17.43,7.07,14,0,0,580,1693,2026-07-20
SKU-00049,Mini RC Car 663,Toys & Games,Anchor Point Toys Inc.,84,9.49,4.33,0.83,16,0,0,126,378,2026-08-24
SKU-00050,OEM-Spec Air Filter 560,Automotive Parts,Union Square Fabricators,4,20.88,2.49,1.6,9,1,40,71,205,2026-08-25
SKU-00051,Multi-Pack Sticky Notes 238,Office Supplies,Meridian Distribution Co.,557,15.51,27.29,8.47,13,0,0,798,2341,2026-08-31
SKU-00052,All-Terrain Bike Helmet 800,Sporting Goods,Pacific Rim Sourcing,228,8.53,2.18,1.76,24,0,0,65,205,2026-07-17
SKU-00053,Heavy-Duty Cabin Filter 796,Automotive Parts,Ironclad Industrial Supply,31,71.74,0.94,0.08,15,0,0,28,86,2026-08-30
SKU-00054,Wooden Action Figure 357,Toys & Games,Anchor Point Toys Inc.,146,11.28,6.11,3.05,18,0,0,163,542,2026-09-06
SKU-00055,4K Charger 889,Electronics,Pacific Rim Sourcing,364,474.05,1.99,0.77,24,0,0,57,162,2026-06-07
SKU-00056,Cotton Hoodie 704,Apparel,Pacific Rim Sourcing,187,6.79,9.38,1.42,16,0,0,297,849,2026-07-18
SKU-00057,Remote Control Building Blocks 914,Toys & Games,BlueHarbor Trading,161,10.43,4.86,0.42,39,3,329,143,423,2026-07-30
SKU-00058,Daily Multivitamin 351,Health & Beauty,Evergreen Consumer Goods,1420,28.65,61.34,7.91,7,0,0,1867,5921,2026-08-14
SKU-00059,Bluetooth Hub 181,Electronics,Pacific Rim Sourcing,134,19.26,3.55,3.16,37,0,0,98,327,2026-08-08
SKU-00060,Universal Serpentine Belt 888,Automotive Parts,Union Square Fabricators,134,18.05,4.9,1.67,9,0,0,145,437,2026-07-25
SKU-00061,Heavy-Duty Sticky Notes 142,Office Supplies,Delta Prime Wholesale,296,13.38,16.72,6.94,36,0,0,494,1485,2026-07-25
SKU-00062,OEM-Spec Oil Filter 429,Automotive Parts,Union Square Fabricators,36,14.12,0.98,0.54,10,0,0,30,94,2026-09-05
SKU-00063,Adjustable Stapler 525,Office Supplies,Delta Prime Wholesale,180,2.59,7.77,3.74,5,0,0,245,746,2026-08-31
SKU-00064,Herbal Toothpaste 778,Health & Beauty,Evergreen Consumer Goods,650,3.34,31.39,13.27,12,0,0,919,2683,2026-09-04
SKU-00065,Foldable Yoga Mat 711,Sporting Goods,Northgate Wholesale,451,109.91,64.19,34.94,7,2,616,1918,6043,2026-09-01
SKU-00066,Portable Power Bank 219,Electronics,Apex Electronics Group,84,85.55,2.32,0.81,17,0,0,67,214,2026-07-25
SKU-00067,High-Torque Respirator Mask 195,Industrial Supplies,TransGlobal Manufacturing,441,384.19,2.69,0.35,28,0,0,82,239,2026-07-10
SKU-00068,Gentle Multivitamin 928,Health & Beauty,Meridian Distribution Co.,203,4.12,8.18,8.32,23,0,0,239,754,2026-08-05
SKU-00069,Pro-Grade Camping Chair 405,Sporting Goods,Pacific Rim Sourcing,1340,78.68,7.47,5.02,12,0,0,234,668,2026-06-30
SKU-00070,Lightweight Camping Chair 594,Sporting Goods,Northgate Wholesale,238,12.16,6.69,1.01,39,0,0,196,593,2026-08-15
SKU-00071,Pro-Grade Hiking Backpack 620,Sporting Goods,Coastal Sports & Outdoor,97,30.98,4.12,1.45,41,0,0,129,377,2026-09-01
SKU-00072,Portable Charger 732,Electronics,Apex Electronics Group,1636,414.61,5.75,0.51,48,0,0,173,519,2026-05-17
SKU-00073,Noise-Cancelling Monitor 459,Electronics,Summit Logistics Partners,1337,198.01,51.01,41.48,13,3,569,1645,4405,2026-08-17
SKU-00074,Women's T-Shirt 411,Apparel,Pacific Rim Sourcing,142,53.72,4.69,4.16,29,1,194,168,486,2026-08-25
SKU-00075,Recycled Whiteboard 163,Office Supplies,Delta Prime Wholesale,753,3.6,34.05,23.58,13,0,0,935,3222,2026-07-31
SKU-00076,OEM-Spec Brake Pads 412,Automotive Parts,Union Square Fabricators,201,101.45,5.99,0.71,18,0,0,183,516,2026-09-03
SKU-00077,Whole Grain Pasta 576,Grocery & Consumables,Delta Prime Wholesale,353,2.86,11.75,2.79,30,0,0,376,1069,2026-07-22
SKU-00078,Adjustable Hiking Backpack 708,Sporting Goods,Northgate Wholesale,49,71.01,3.25,0.38,6,1,25,98,277,2026-09-04
SKU-00079,High-Performance Headlight Bulb 595,Automotive Parts,Redline Auto Parts Ltd.,120,337.34,3.37,0.6,15,0,0,99,306,2026-09-08
SKU-00080,Ceramic Water Bottle 958,Home & Kitchen,TransGlobal Manufacturing,723,23.18,44.15,4.94,25,0,0,1327,3937,2026-07-27
SKU-00081,Heavy-Duty Zip Ties 756,Industrial Supplies,TransGlobal Manufacturing,45,64.18,2.05,0.34,49,0,0,62,184,2026-08-11
SKU-00082,Deluxe Board Game 742,Toys & Games,BlueHarbor Trading,209,10.32,4.94,4.63,19,0,0,128,412,2026-08-24
SKU-00083,Dual-Band Speaker 258,Electronics,TransGlobal Manufacturing,51,348.93,1.83,0.15,20,0,0,55,164,2026-08-24
SKU-00084,Non-Stick Cutting Board 689,Home & Kitchen,Northgate Wholesale,173,13.55,5.99,0.68,36,0,0,180,521,2026-09-07
SKU-00085,Plush Stuffed Animal 211,Toys & Games,Anchor Point Toys Inc.,638,10.23,22.8,20.84,25,3,923,484,1672,2026-08-09
SKU-00086,Heavy-Duty Battery 813,Automotive Parts,Ironclad Industrial Supply,79,116.78,1.95,0.7,9,1,28,63,178,2026-08-19
SKU-00087,SPF 30 Moisturizer 991,Health & Beauty,Meridian Distribution Co.,632,10.85,21.1,9.66,27,0,0,629,1946,2026-08-30
SKU-00088,Thermal Hoodie 738,Apparel,Evergreen Consumer Goods,1767,29.14,40.88,11.71,34,0,0,1027,3264,2026-07-27
SKU-00089,Non-Stick Dish Rack 627,Home & Kitchen,TransGlobal Manufacturing,1043,30.55,60.39,38.56,25,0,0,2017,5469,2026-08-14
SKU-00090,Anti-Static Cable Ties 666,Industrial Supplies,Union Square Fabricators,214,206.93,1.31,0.58,24,0,0,45,133,2026-04-20
SKU-00091,Galvanized Cable Ties 143,Industrial Supplies,Union Square Fabricators,747,203.87,33.81,15.46,11,0,0,849,2766,2026-08-27
SKU-00092,Glow-in-the-Dark Art Kit 742,Toys & Games,Anchor Point Toys Inc.,158,7.6,9.92,3.93,15,0,0,297,899,2026-08-06
SKU-00093,Adjustable Tent (4-Person) 718,Sporting Goods,Coastal Sports & Outdoor,65,55.08,2.68,1.04,14,3,43,77,235,2026-08-22
SKU-00094,Sulfate-Free Shampoo 281,Health & Beauty,Evergreen Consumer Goods,339,4.05,11.65,2.63,7,0,0,332,980,2026-08-07
SKU-00095,High-Torque Extension Cord 695,Industrial Supplies,Union Square Fabricators,24,193.14,17.92,4.72,12,1,356,543,1652,2026-09-02
SKU-00096,Unisex Leggings 555,Apparel,BlueHarbor Trading,252,23.01,7.57,1.17,19,0,0,228,693,2026-08-22
SKU-00097,Universal Brake Pads 198,Automotive Parts,Ironclad Industrial Supply,117,207.02,16.81,6.85,8,1,126,508,1471,2026-09-05
SKU-00098,Educational Action Figure 235,Toys & Games,Pacific Rim Sourcing,947,9.17,23.96,2.56,25,0,0,728,2212,2026-08-10
SKU-00099,Galvanized Hard Hat 641,Industrial Supplies,TransGlobal Manufacturing,118,18.05,4.6,0.49,16,0,0,136,416,2026-08-13
SKU-00100,Silicone Food Container 305,Home & Kitchen,Clearwater Home Goods,3464,40.95,106.78,12.6,6,0,0,3057,9454,2026-09-06
SKU-00101,Wide-Format Stapler 471,Office Supplies,Delta Prime Wholesale,242,19.77,5.4,5.75,10,0,0,156,498,2026-08-03
SKU-00102,Precision Cable Ties 975,Industrial Supplies,Union Square Fabricators,72,98.0,5.8,0.49,20,0,0,170,498,2026-08-25
SKU-00103,All-Terrain Bike Helmet 777,Sporting Goods,Northgate Wholesale,13,177.98,1.62,0.86,13,1,30,52,148,2026-09-04
SKU-00104,Educational Puzzle (500pc) 292,Toys & Games,Pacific Rim Sourcing,19,56.18,27.01,19.31,30,3,1461,661,2206,2026-07-22
SKU-00105,Performance Socks (3-Pack) 386,Apparel,BlueHarbor Trading,390,78.17,22.13,4.91,15,0,0,661,1964,2026-08-28
SKU-00106,Sparkling Coffee 477,Grocery & Consumables,Golden Valley Foods,420,5.5,11.36,3.87,41,0,0,341,1022,2026-07-31
SKU-00107,Non-Stick Utensil Set 398,Home & Kitchen,Clearwater Home Goods,156,76.97,5.18,1.15,5,0,0,162,465,2026-08-05
SKU-00108,Deluxe Building Blocks 319,Toys & Games,Pacific Rim Sourcing,111,5.77,5.94,0.5,30,0,0,172,526,2026-07-24
SKU-00109,Advanced Multivitamin 498,Health & Beauty,Vantage Health Products,89,8.17,9.29,3.84,24,1,188,264,790,2026-08-24
SKU-00110,Reinforced Cable Ties 320,Industrial Supplies,TransGlobal Manufacturing,53,370.9,2.8,2.16,41,0,0,90,271,2026-08-07
SKU-00111,Retractable Pens (Box of 12) 818,Office Supplies,Sterling Office Supply,88,1.69,2.43,0.27,10,0,0,73,217,2026-08-30
SKU-00112,Ergonomic Whiteboard 493,Office Supplies,Meridian Distribution Co.,16,8.59,3.4,1.15,9,2,41,93,292,2026-09-07
SKU-00113,Lightweight Yoga Mat 822,Sporting Goods,Northgate Wholesale,85,96.62,4.35,0.79,5,0,0,132,398,2026-08-20
SKU-00114,Fleece Jacket 902,Apparel,BlueHarbor Trading,5964,75.53,27.57,14.8,26,0,0,959,2715,2026-05-17
SKU-00115,Junior Tent (4-Person) 372,Sporting Goods,Pacific Rim Sourcing,263,210.14,10.55,3.27,36,0,0,300,865,2026-07-25
SKU-00116,Reusable Cookie Sheet 988,Home & Kitchen,TransGlobal Manufacturing,195,175.42,12.7,4.17,34,0,0,341,1071,2026-07-18
SKU-00117,Remote Control Play Tent 265,Toys & Games,Pacific Rim Sourcing,82,10.52,3.76,1.22,25,2,81,106,325,2026-07-31
SKU-00118,Adjustable Food Container 136,Home & Kitchen,TransGlobal Manufacturing,928,13.91,41.42,7.55,21,1,1496,1174,3623,2026-08-03
SKU-00119,Insulated Knife Set 845,Home & Kitchen,TransGlobal Manufacturing,560,20.64,14.94,3.92,31,0,0,461,1268,2026-08-29
SKU-00120,Retractable Whiteboard 576,Office Supplies,Delta Prime Wholesale,154,11.92,8.91,4.71,6,2,100,320,932,2026-07-24
SKU-00121,Adjustable Pens (Box of 12) 449,Office Supplies,Delta Prime Wholesale,15,23.4,4.67,1.37,6,0,0,148,436,2026-09-08
SKU-00122,Replacement Wiper Blades 296,Automotive Parts,Ironclad Industrial Supply,538,123.31,12.53,1.4,11,0,0,380,1104,2026-08-19
SKU-00123,Pro-Grade Hiking Backpack 207,Sporting Goods,Pacific Rim Sourcing,23,31.3,2.32,0.81,21,0,0,67,198,2026-08-04
SKU-00124,Multi-Pack Binder Clips 246,Office Supplies,Meridian Distribution Co.,549,2.37,34.47,11.39,5,0,0,986,3184,2026-09-01
SKU-00125,Compact Webcam 998,Electronics,Pacific Rim Sourcing,653,301.1,25.4,6.06,25,0,0,735,2366,2026-08-05
SKU-00126,Retractable Desk Organizer 757,Office Supplies,Sterling Office Supply,38,1.42,8.38,0.96,6,0,0,251,781,2026-09-08
SKU-00127,Slim Fit Jacket 761,Apparel,Evergreen Consumer Goods,437,20.54,2.75,1.16,35,0,0,86,258,2026-05-22
SKU-00128,Wooden Building Blocks 195,Toys & Games,Pacific Rim Sourcing,531,35.24,31.45,15.5,23,0,0,954,2729,2026-08-28
SKU-00129,Heavy-Duty Safety Goggles 928,Industrial Supplies,TransGlobal Manufacturing,358,67.4,8.44,2.11,13,0,0,263,768,2026-09-01
SKU-00130,Slim Fit Beanie 770,Apparel,Pacific Rim Sourcing,127,14.23,8.07,5.49,22,0,0,242,782,2026-08-30
SKU-00131,Herbal Shampoo 519,Health & Beauty,Evergreen Consumer Goods,2680,38.22,92.27,27.73,13,0,0,2954,8221,2026-09-03
SKU-00132,Advanced Multivitamin 258,Health & Beauty,Vantage Health Products,2780,5.26,65.48,27.57,7,0,0,1868,5841,2026-08-29
SKU-00133,Family Size Tea Bags 756,Grocery & Consumables,Delta Prime Wholesale,7469,11.38,50.74,17.96,15,0,0,1545,4506,2026-05-31
SKU-00134,Collapsible Mixing Bowl Set 595,Home & Kitchen,Northgate Wholesale,595,21.46,29.35,12.81,13,0,0,862,2558,2026-07-24
SKU-00135,Foldable Tent (4-Person) 410,Sporting Goods,Coastal Sports & Outdoor,43,13.12,4.55,1.63,20,2,168,127,372,2026-08-25
SKU-00136,All-Terrain Resistance Bands 411,Sporting Goods,Coastal Sports & Outdoor,190,23.57,1.66,1.81,11,0,0,49,152,2026-04-24
SKU-00137,Foldable Yoga Mat 364,Sporting Goods,Coastal Sports & Outdoor,600,40.52,14.13,5.34,17,0,0,419,1267,2026-08-09
SKU-00138,Build-Your-Own Stuffed Animal 469,Toys & Games,Pacific Rim Sourcing,101,53.38,6.16,2.55,14,0,0,170,530,2026-08-24
SKU-00139,Dual-Band Monitor 663,Electronics,Summit Logistics Partners,480,40.61,14.37,7.19,31,3,743,392,1183,2026-07-30
SKU-00140,Vitamin C Multivitamin 372,Health & Beauty,Vantage Health Products,1146,10.22,69.7,26.22,19,0,0,1984,5782,2026-08-19
SKU-00141,Gluten-Free Rice 147,Grocery & Consumables,Delta Prime Wholesale,45,6.05,8.08,1.44,8,1,72,239,759,2026-09-06
SKU-00142,High-Performance Floor Mats 242,Automotive Parts,Union Square Fabricators,108,145.76,8.37,2.13,15,0,0,243,751,2026-08-13
SKU-00143,Gluten-Free Trail Mix 881,Grocery & Consumables,Delta Prime Wholesale,521,2.84,12.71,5.14,6,0,0,347,1149,2026-08-30
SKU-00144,Replacement Air Filter 847,Automotive Parts,Ironclad Industrial Supply,848,15.16,22.62,22.01,43,0,0,738,2000,2026-09-02
SKU-00145,Compact Mouse 867,Electronics,TransGlobal Manufacturing,209,21.82,5.21,1.45,26,2,232,158,466,2026-08-10
SKU-00146,Advanced Toothpaste 716,Health & Beauty,Vantage Health Products,317,4.06,18.56,9.24,8,0,0,529,1628,2026-07-28
SKU-00147,High-Performance Headlight Bulb 995,Automotive Parts,Union Square Fabricators,1237,248.55,7.01,4.92,21,0,0,218,669,2026-06-23
SKU-00148,Cast Iron Mixing Bowl Set 675,Home & Kitchen,Clearwater Home Goods,107,95.31,6.64,3.01,9,0,0,188,614,2026-07-30
SKU-00149,Non-Stick Mixing Bowl Set 392,Home & Kitchen,TransGlobal Manufacturing,2915,13.81,18.45,2.23,28,0,0,558,1722,2026-05-29
SKU-00150,SPF 30 Face Mask 770,Health & Beauty,Evergreen Consumer Goods,1580,30.86,43.02,5.22,12,1,1029,1301,3962,2026-08-15
SKU-00151,Bulk Extension Cord 318,Industrial Supplies,Ironclad Industrial Supply,209,175.17,11.35,2.48,18,0,0,349,1056,2026-08-06
SKU-00152,Herbal Toothpaste 566,Health & Beauty,Evergreen Consumer Goods,1051,9.5,26.34,4.82,15,2,669,785,2427,2026-08-12
SKU-00153,Ceramic Headlight Bulb 556,Automotive Parts,Redline Auto Parts Ltd.,1683,69.13,45.96,15.63,10,2,555,1346,4065,2026-08-31
SKU-00154,Compact Notebook 409,Office Supplies,Delta Prime Wholesale,220,20.37,7.23,2.45,6,0,0,212,590,2026-08-29
SKU-00155,Glow-in-the-Dark Play Tent 399,Toys & Games,Anchor Point Toys Inc.,828,10.22,18.46,7.18,17,0,0,588,1674,2026-09-07
SKU-00156,Reinforced Work Gloves 660,Industrial Supplies,Ironclad Industrial Supply,67,104.11,1.91,0.33,27,0,0,58,173,2026-07-27
SKU-00157,Quick-Dry Dumbbell Set 215,Sporting Goods,Northgate Wholesale,59,15.27,14.48,4.88,8,0,0,452,1366,2026-09-05
SKU-00158,Unisex Joggers 544,Apparel,BlueHarbor Trading,3610,85.02,27.64,2.41,15,0,0,833,2407,2026-07-30
SKU-00159,High-Performance Wiper Blades 204,Automotive Parts,Union Square Fabricators,97,199.64,2.33,1.36,9,0,0,71,231,2026-08-06
SKU-00160,Collectible Puzzle (500pc) 746,Toys & Games,Anchor Point Toys Inc.,102,6.59,4.27,0.54,13,0,0,126,386,2026-09-08
SKU-00161,Anti-Static Cable Ties 371,Industrial Supplies,Ironclad Industrial Supply,437,97.42,18.0,8.92,20,1,519,518,1604,2026-08-27
SKU-00162,Classic Fit Beanie 689,Apparel,Pacific Rim Sourcing,291,60.4,8.31,1.5,21,0,0,241,710,2026-08-05
SKU-00163,High-Torque Zip Ties 555,Industrial Supplies,Union Square Fabricators,139,17.46,7.09,3.14,8,0,0,206,615,2026-08-23
SKU-00164,Recycled Notebook 316,Office Supplies,Delta Prime Wholesale,151,18.95,4.46,1.95,37,2,195,125,364,2026-08-07
SKU-00165,Ceramic Cabin Filter 550,Automotive Parts,Redline Auto Parts Ltd.,5577,72.83,47.27,16.59,11,0,0,1470,4396,2026-04-22
SKU-00166,Wide-Format Sticky Notes 182,Office Supplies,Delta Prime Wholesale,1147,9.12,8.27,1.87,7,0,0,253,704,2026-05-03
SKU-00167,Cast Iron Water Bottle 732,Home & Kitchen,Northgate Wholesale,230,9.28,5.18,3.19,7,0,0,144,474,2026-09-01
SKU-00168,Hydrating Face Mask 194,Health & Beauty,Meridian Distribution Co.,2775,4.66,61.92,32.64,20,0,0,2163,5895,2026-07-22
SKU-00169,Lightweight Bike Helmet 297,Sporting Goods,Coastal Sports & Outdoor,779,32.81,43.57,10.97,12,0,0,1274,3821,2026-08-13
SKU-00170,OEM-Spec Battery 149,Automotive Parts,Ironclad Industrial Supply,105,25.49,0.97,0.55,24,0,0,30,93,2026-06-28
SKU-00171,Reinforced Tent (4-Person) 537,Sporting Goods,Pacific Rim Sourcing,301,16.93,9.19,5.74,48,0,0,281,789,2026-07-10
SKU-00172,Adjustable Camping Chair 161,Sporting Goods,Coastal Sports & Outdoor,41,8.93,13.51,1.27,13,1,157,386,1135,2026-08-22
SKU-00173,Whole Grain Protein Bars 752,Grocery & Consumables,Evergreen Consumer Goods,5349,1.21,191.81,36.16,10,0,0,5909,18429,2026-07-19
SKU-00174,Non-Stick Mixing Bowl Set 430,Home & Kitchen,Clearwater Home Goods,43,54.36,2.26,0.33,13,0,0,69,211,2026-09-08
SKU-00175,Performance Jacket 219,Apparel,BlueHarbor Trading,447,15.42,13.07,1.75,14,0,0,399,1150,2026-08-26
SKU-00176,SPF 30 Face Mask 321,Health & Beauty,Vantage Health Products,610,48.52,18.28,5.57,12,0,0,555,1597,2026-07-30
SKU-00177,High-Performance Cabin Filter 834,Automotive Parts,Redline Auto Parts Ltd.,78,176.95,11.82,8.83,15,0,0,275,937,2026-08-17
SKU-00178,Universal Cabin Filter 406,Automotive Parts,Redline Auto Parts Ltd.,382,80.87,13.76,12.51,12,0,0,323,986,2026-08-17
SKU-00179,Heavy-Duty Cabin Filter 573,Automotive Parts,Ironclad Industrial Supply,24,39.89,7.84,2.97,8,2,68,230,693,2026-09-01
SKU-00180,Premium Serpentine Belt 293,Automotive Parts,Ironclad Industrial Supply,67,23.02,2.21,0.58,17,0,0,65,202,2026-08-10
SKU-00181,Whole Grain Pasta 232,Grocery & Consumables,Evergreen Consumer Goods,21401,7.08,162.32,115.16,6,0,0,4968,15235,2026-06-06
SKU-00182,Bamboo Cutting Board 585,Home & Kitchen,TransGlobal Manufacturing,796,34.1,46.85,40.33,24,1,2119,833,2870,2026-08-07
SKU-00183,Bulk Hex Bolts (100pk) 494,Industrial Supplies,TransGlobal Manufacturing,164,19.26,7.0,1.36,30,1,181,212,611,2026-07-06
SKU-00184,SPF 30 Multivitamin 314,Health & Beauty,Meridian Distribution Co.,136,33.86,4.6,1.74,25,1,213,140,448,2026-09-01
SKU-00185,Anti-Aging Hand Cream 747,Health & Beauty,Vantage Health Products,220,34.37,3.49,3.46,5,0,0,143,397,2026-07-10
SKU-00186,Recycled Binder Clips 774,Office Supplies,Meridian Distribution Co.,5815,1.25,33.0,4.15,9,0,0,957,2921,2026-05-18
SKU-00187,Bulk Hard Hat 952,Industrial Supplies,TransGlobal Manufacturing,93,23.26,2.54,1.25,25,3,103,62,190,2026-07-26
SKU-00188,Wireless Speaker 871,Electronics,Pacific Rim Sourcing,2868,374.07,86.88,55.08,19,1,2019,2462,7848,2026-07-25
SKU-00189,Cotton Socks (3-Pack) 436,Apparel,BlueHarbor Trading,276,62.18,7.39,5.7,13,0,0,198,537,2026-08-17
SKU-00190,Sparkling Sparkling Water 235,Grocery & Consumables,Evergreen Consumer Goods,2661,7.87,72.28,75.75,8,0,0,2073,6755,2026-08-03
